date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:49	110577/110577	---M--	200	added ('OK')	text/html	etag:%22969e6b55eea59401001cf132d311b5d5%22	https://jritech.8b.io/	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/jritech.8b.io/index.html	(from )
14:31:49	207/207	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jan%202020%2017:31:50%20GMT	https://jritech.8b.io/robots.txt		(from )
14:31:49	10203/10203	---M--	200	added ('OK')	image/png	etag:%22bd820da4e49224a1f0ad901bde9490d1%22	https://r.8b.io/26178/assets/images/jritech_logo_128x85.png	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/assets/images/jritech_logo_128x85.png	(from https://jritech.8b.io/)
14:31:50	365697/365697	---M--	200	added ('OK')	image/jpeg	etag:%222ab238098bb21ad45ff0258224423791%22	https://r.8b.io/26178/images/57e3d5444850ab14ea89857dc22e3-h_k0xuvs87.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/images/57e3d5444850ab14ea89857dc22e3-h_k0xuvs87.jpg	(from https://jritech.8b.io/)
14:31:51	113640/113640	---M--	200	added ('OK')	image/jpeg	etag:%223c7cc4e48ec632d71cb9ce804cc7bbd7%22	https://app.8b.io/app/themes/webamp/projects/company/assets/images/background3.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/app.8b.io/app/themes/webamp/projects/company/assets/images/background3.jpg	(from https://jritech.8b.io/)
14:31:51	152612/152612	---M--	200	added ('OK')	image/jpeg	etag:%2271b092647ee77d7e55905139834e686c%22	https://r.8b.io/26178/images/54e9dd414855ac14ea89857dc22e3-h_k4bfspho.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/r.8b.io/26178/images/54e9dd414855ac14ea89857dc22e3-h_k4bfspho.jpg	(from https://jritech.8b.io/)
14:31:51	97369/97369	---M--	200	added ('OK')	image/jpeg	etag:%221b3d79bbfa0e4f13e0704cdcea5063f5%22	https://app.8b.io/app/themes/webamp/projects/company/assets/images/background4.jpg	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/app.8b.io/app/themes/webamp/projects/company/assets/images/background4.jpg	(from https://jritech.8b.io/)
14:31:52	258391/258391	---M--	200	added ('OK')	text/javascript	etag:%22e8d9537b72423aeb%22	https://cdn.ampproject.org/v0.js	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/cdn.ampproject.org/v0.js	(from https://jritech.8b.io/)
14:31:52	33960/33960	---M--	200	added ('OK')	text/javascript	etag:%226405fcec128d55a0%22	https://cdn.ampproject.org/v0/amp-mustache-0.2.js	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/cdn.ampproject.org/v0/amp-mustache-0.2.js	(from https://jritech.8b.io/)
14:31:53	155909/155909	---M--	200	added ('OK')	text/javascript	etag:%229c73d379000df978%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/My%20Cloned%20Web%20Sites/JRiTech.8B.IO/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://jritech.8b.io/)
